algorithm,dataset,instance_id,n,m,T_max,seed,profit,cpu_time,iterations
ILS Basic,synthetic,syn_n8_m2_t12_s0,8,2,12.0,0,5.0,0.0068,80.0
ILS Modified,synthetic,syn_n8_m2_t12_s0,8,2,12.0,0,5.0,0.0198,80.0
ILS Basic,synthetic,syn_n8_m2_t12_s1,8,2,12.0,1,26.0,0.0099,80.0
ILS Modified,synthetic,syn_n8_m2_t12_s1,8,2,12.0,1,26.0,0.0262,80.0
ILS Basic,synthetic,syn_n8_m2_t12_s2,8,2,12.0,2,32.0,0.0089,80.0
ILS Modified,synthetic,syn_n8_m2_t12_s2,8,2,12.0,2,32.0,0.0288,80.0
ILS Basic,synthetic,syn_n8_m2_t12_s3,8,2,12.0,3,24.0,0.0083,80.0
ILS Modified,synthetic,syn_n8_m2_t12_s3,8,2,12.0,3,24.0,0.0261,80.0
ILS Basic,synthetic,syn_n8_m2_t12_s4,8,2,12.0,4,37.0,0.0087,80.0
ILS Modified,synthetic,syn_n8_m2_t12_s4,8,2,12.0,4,37.0,0.0286,80.0
ILS Basic,synthetic,syn_n10_m2_t14_s0,10,2,14.0,0,20.0,0.01,80.0
ILS Modified,synthetic,syn_n10_m2_t14_s0,10,2,14.0,0,20.0,0.0302,80.0
ILS Basic,synthetic,syn_n10_m2_t14_s1,10,2,14.0,1,29.0,0.0125,80.0
ILS Modified,synthetic,syn_n10_m2_t14_s1,10,2,14.0,1,29.0,0.0358,80.0
ILS Basic,synthetic,syn_n10_m2_t14_s2,10,2,14.0,2,38.0,0.0119,80.0
ILS Modified,synthetic,syn_n10_m2_t14_s2,10,2,14.0,2,35.0,0.0297,80.0
ILS Basic,synthetic,syn_n10_m2_t14_s3,10,2,14.0,3,35.0,0.0144,80.0
ILS Modified,synthetic,syn_n10_m2_t14_s3,10,2,14.0,3,35.0,0.0422,80.0
ILS Basic,synthetic,syn_n10_m2_t14_s4,10,2,14.0,4,33.0,0.0259,80.0
ILS Modified,synthetic,syn_n10_m2_t14_s4,10,2,14.0,4,33.0,0.0611,80.0
ILS Basic,synthetic,syn_n12_m2_t16_s0,12,2,16.0,0,52.0,0.0155,80.0
ILS Modified,synthetic,syn_n12_m2_t16_s0,12,2,16.0,0,52.0,0.0467,80.0
ILS Basic,synthetic,syn_n12_m2_t16_s1,12,2,16.0,1,40.0,0.0122,80.0
ILS Modified,synthetic,syn_n12_m2_t16_s1,12,2,16.0,1,40.0,0.0329,80.0
ILS Basic,synthetic,syn_n12_m2_t16_s2,12,2,16.0,2,59.0,0.0246,80.0
ILS Modified,synthetic,syn_n12_m2_t16_s2,12,2,16.0,2,59.0,0.0758,80.0
ILS Basic,synthetic,syn_n12_m2_t16_s3,12,2,16.0,3,41.0,0.0166,80.0
ILS Modified,synthetic,syn_n12_m2_t16_s3,12,2,16.0,3,41.0,0.0495,80.0
ILS Basic,synthetic,syn_n12_m2_t16_s4,12,2,16.0,4,40.0,0.0133,80.0
ILS Modified,synthetic,syn_n12_m2_t16_s4,12,2,16.0,4,44.0,0.0486,80.0
ILS Basic,synthetic,syn_n15_m2_t18_s0,15,2,18.0,0,65.0,0.0345,80.0
ILS Modified,synthetic,syn_n15_m2_t18_s0,15,2,18.0,0,65.0,0.099,80.0
ILS Basic,synthetic,syn_n15_m2_t18_s1,15,2,18.0,1,55.0,0.0312,80.0
ILS Modified,synthetic,syn_n15_m2_t18_s1,15,2,18.0,1,55.0,0.103,80.0
ILS Basic,synthetic,syn_n15_m2_t18_s2,15,2,18.0,2,63.0,0.0308,80.0
ILS Modified,synthetic,syn_n15_m2_t18_s2,15,2,18.0,2,63.0,0.1347,80.0
ILS Basic,synthetic,syn_n15_m2_t18_s3,15,2,18.0,3,54.0,0.021,80.0
ILS Modified,synthetic,syn_n15_m2_t18_s3,15,2,18.0,3,54.0,0.0575,80.0
ILS Basic,synthetic,syn_n15_m2_t18_s4,15,2,18.0,4,70.0,0.0361,80.0
ILS Modified,synthetic,syn_n15_m2_t18_s4,15,2,18.0,4,70.0,0.0961,80.0
